Order Date,"Order
Type",Seller Order ID,Order ID,Inventory,Status,Tracking,Package Count,Qty,"Sale 
Price ","Sale 
price",Shipping Charged,"AMZ
Fee","Total 
Rate","Tax
fees",Shipping,"Unit 
cost","Total 
Cost ",Refund,Profit ,Loss,ROI,"Return
Refund","Veeqo 
Credits",3PL Cost,Net
,,,,,,,0,2918,"$97,422.41","$135,212.99","$17,131.38","$22,744.50 ","$129,599.86 ",$0.00,"$23,033.03","$56,450.40","$102,035.61 ",0,"$27,564.25 ",#REF!,27.01%,$0.00,$0.00 ,$0.00 ,"$27,564.25 "
,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Feb 1",Dropship,112-7244356-5600262,25RWP7F,,Delivered,1Z5808E40367407879,0,1,$34.95,$34.95,$0.00,$5.24 ,$29.71 ,$0.00,$10.04,$18.80,$28.84 ,,$0.87 ,,,,,,
"Sun, Feb 1",Dropship,113-3509322-1321028,01LDNNK,,Delivered,1Z81V6210362753461,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,112-9980718-1483411,25RWQCH,,Delivered,1Z5808E40367425877,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,112-3628205-2749042,07BPVKY,,Delivered,1Z0966F20339735811,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,112-4194511-5486637,07BPVLK,,Delivered,1Z0966F20339732645,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,113-1258415-6265840,25RWV62,,Delivered,1Z5808E40367437800,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,113-0234489-9804207,07BPVRS,,Delivered,1Z0966F20339733359,0,1,$39.95,$39.95,$0.00,$5.99 ,$33.96 ,$0.00,$10.04,$18.37,$28.41 ,,$5.55 ,,,,,,
"Sun, Feb 1",Dropship,114-2406277-6344224,01LDSYK,,"Delivered
Delivered","1Z035H9G0300170443
1Z035H9G0300170489",0,2,$35.99,$71.98,$24.99,$14.55 ,$82.42 ,$0.00,$10.04,$18.37,$46.78 ,,$35.64 ,,,,,,
"Sun, Feb 1",Dropship,112-1833609-8202640,276FPDH,,Delivered,1ZV36W130326097925,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-1731510-2905854,276FPNP,,Delivered,1ZV36W130326098924,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,113-4350517-6399419,07BPV8P,,"Delivered
Delivered","1Z0966F20339740823
1Z0966F20339740832",0,2,$35.99,$71.98,$24.99,$14.55 ,$82.42 ,$0.00,$10.04,$18.37,$46.78 ,,$35.64 ,,,,,,
"Sun, Feb 1",Dropship,112-6027370-8541818,25RWWTJ,,Delivered,1Z5808E40367442536,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,113-4561868-4539439,21WRW2W,,Delivered,1Z035H9C0300191375,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,111-0478868-1685051,47YY3BS,,"Delivered
Delivered","1Z5RE6980332643004
1Z5RE6980332643013",0,2,$39.99,$79.98,$24.99,$15.75 ,$89.22 ,$0.00,$10.04,$18.37,$46.78 ,,$42.44 ,,,,,,
"Sun, Feb 1",Dropship,112-3714408-3986622,25RWWTK,,Delivered,1Z5808E40367442456,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-8702251-0153803,25RWWSP,,Delivered,1Z5808E40367442072,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,114-9201711-5069833,21WRWZL,,Delivered,1Z0966FY0324734502,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
"Sun, Feb 1",Dropship,111-0545361-7751425,21WRWZD,,"Delivered
Delivered","1Z0966FY0324734726
1Z0966FY0324734735",0,2,$39.99,$79.98,$24.99,$15.75 ,$89.22 ,$0.00,$10.04,$18.37,$46.78 ,,$42.44 ,,,,,,
"Sun, Feb 1",Dropship,113-9831095-4277064,21WRWYR,,Delivered,1Z035H9C0300191339,0,1,$39.99,$39.99,$0.00,$6.00 ,$33.99 ,$0.00,$10.04,$18.37,$28.41 ,,$5.58 ,,,,,,
