Order Date,"Order
Type",Seller Order ID,Order ID,,Status,Tracking,Package Count,Qty,"Sale 
Price ","Sale 
price",Shipping Charged,"AMZ
Fee","Total 
Rate","Tax
fees",Shipping,"Unit 
cost","Total 
Cost ",Refund,Profit ,Loss,ROI,"Return
Refund","Veeqo 
Credits",3PL Cost,Net,Inventory
,,,,,,,6,2293,"$47,394.02","$64,509.28","$9,675.32","$11,127.69 ","$63,056.91 ",$0.00,"$12,141.60","$24,226.32","$46,750.00 ",0,"$16,306.91 ",#REF!,34.88%,$0.00,$0.00 ,$11.40 ,"$16,295.51 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Mar 1",Dropship,111-3356952-2913005,25R5YR4,,Delivered,9205590114424806041540,0,2,$25.30,$50.60,$18.99,$10.44 ,$59.15 ,$0.00,$10.04,$10.15,$30.34 ,,$28.81 ,,,,,,,
"Sun, Mar 1",Dropship,114-2442803-3235424,25R5YRW,,Delivered,1Z5808E40368641257,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,$10.04,$25.95,$35.99 ,,$3.32 ,,,,,,,
"Sun, Mar 1",Dropship,111-3509662-8555445,01LNKSF,,Delivered,1Z81V6210363859186,0,1,$48.49,$48.49,$0.00,$7.27 ,$41.22 ,$0.00,$10.04,$25.95,$35.99 ,,$5.23 ,,,,,,,
"Sun, Mar 1",Dropship,114-5310643-3070667,01LNKSB,,Delivered,1Z035H9G0300308545,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,$10.04,$18.37,$28.41 ,,$11.53 ,,,,,,,
"Sun, Mar 1",Dropship,113-2589520-0000235,07BYJR4,,Delivered,1Z0966F20341150626,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,$10.04,$18.37,$28.41 ,,$14.08 ,,,,,,,
"Sun, Mar 1",Dropship,112-7752331-8453807,01LNKZV,,Delivered,1Z81V6210363870805,0,1,$48.49,$48.49,$0.00,$7.27 ,$41.22 ,$0.00,$10.04,$25.95,$35.99 ,,$5.23 ,,,,,,,
"Sun, Mar 1",Dropship,114-7838342-6298635,07BYJVH,,Delivered,1Z5808E40368666687,0,1,$34.19,$34.19,$0.00,$5.13 ,$29.06 ,$0.00,$10.04,$9.40,$19.44 ,,$9.62 ,,,,,,,
"Sun, Mar 1",Dropship,113-9079731-3216236,01LNTR6,,"Delivered
Replacement",1Z81V6210363899080,0,1,$0.00,$0.00,$0.00,$0.00 ,$0.00 ,$0.00,$10.04,$60.66,$70.70 ,,($70.70),,,,,,,
"Sun, Mar 1",Dropship,111-0924000-9286655,21WV7KS,,Delivered,1Z0966FY0325211164,0,1,$52.99,$52.99,$0.00,$7.95 ,$45.04 ,$0.00,$10.04,$34.79,$44.83 ,,$0.21 ,,,,,,,
"Sun, Mar 1",Dropship,114-4804882-5287469,21WV7LZ,,Delivered,1Z0966FY0325210889,0,1,$52.95,$52.95,$0.00,$7.94 ,$45.01 ,$0.00,$10.04,$34.79,$44.83 ,,$0.18 ,,,,,,,
"Sun, Mar 1",Dropship,113-6325566-8229056,01LNK3Q,,Delivered,1Z81V6210363867239,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,$10.04,$25.95,$35.99 ,,$3.32 ,,,,,,,
"Sun, Mar 1",Dropship,114-6561552-4636204,07BYJWC,,Delivered,1Z0966F20341155603,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,$10.04,$25.95,$35.99 ,,$3.32 ,,,,,,,
"Sun, Mar 1",Dropship,112-5175577-4591463,21WV7NN,,Delivered,1Z0966FY0325213322,0,1,$52.94,$52.94,$0.00,$7.94 ,$45.00 ,$0.00,$10.04,$34.79,$44.83 ,,$0.17 ,,,,,,,
"Sun, Mar 1",Dropship,114-0057936-8659407,276LYT3,,"Delivered
Delivered","1ZV36W130327065761
1ZV36W130327065789",0,2,$49.99,$99.98,$34.99,$20.25 ,$114.72 ,$0.00,$10.04,$18.37,$46.78 ,,$67.94 ,,,,,,,
"Sun, Mar 1",Dropship,114-7958373-3017002,21WV7NQ,,Delivered,1Z0966FY0325207026,0,1,$52.94,$52.94,$0.00,$7.94 ,$45.00 ,$0.00,$10.04,$34.79,$44.83 ,,$0.17 ,,,,,,,
"Sun, Mar 1",Dropship,111-0773861-8616264,276LYT8,,"Delivered
Delivered","1ZV36W130327056324
1ZV36W130327056342",0,2,$49.99,$99.98,$34.99,$20.25 ,$114.72 ,$0.00,10.04,18.37,$46.78 ,,$67.94 ,,,,,,,
"Sun, Mar 1",Dropship,113-2145141-0270625,47Y4363,,Delivered,1Z0966FY0325211191,0,1,$67.90,$67.90,$0.00,$10.19 ,$57.72 ,$0.00,10.04,46.43,$56.47 ,,$1.25 ,,,,,,,
"Sun, Mar 1",Dropship,111-0534755-5693856,21WV7PC,,Delivered,1Z0966FY0325214287,0,1,$52.95,$52.95,$0.00,$7.94 ,$45.01 ,$0.00,10.04,$34.79,$44.83 ,,$0.18 ,,,,,,,
"Sun, Mar 1",Dropship,112-1454697-8589827,21WV7QD,,Delivered,1Z0966FY0325210405,0,1,$52.95,$52.95,$0.00,$7.94 ,$45.01 ,$0.00,10.04,$34.79,$44.83 ,,$0.18 ,,,,,,,
"Sun, Mar 1",Dropship,112-9848693-2127461,21WV7QG,,Delivered,1Z0966FY0325207222,0,1,$52.95,$52.95,$0.00,$7.94 ,$45.01 ,$0.00,10.04,$34.79,$44.83 ,,$0.18 ,,,,,,,
"Sun, Mar 1",Dropship,112-6058282-2555414,07BYTPB,,Delivered,1Z0966F20341191529,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Sun, Mar 1",Dropship,111-9838309-0673848,25R56J6,,Delivered,1Z5808E40368684854,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Sun, Mar 1",Dropship,111-3302850-0021054,21WV7QH,,Delivered,1Z0966FY0325212789,0,1,$52.95,$52.95,$0.00,$7.94 ,$45.01 ,$0.00,10.04,34.79,$44.83 ,,$0.18 ,,,,,,,
"Sun, Mar 1",Dropship,114-0316090-0808203,21WV943,,Delivered,1Z035H9C0300356572,0,1,$42.95,$42.95,$0.00,$6.44 ,$36.51 ,$0.00,10.04,23.13,$33.17 ,,$3.34 ,,,,,,,
"Sun, Mar 1",Dropship,114-9587527-4249063,01LNSKZ,,Delivered,1Z81V6210363889297,0,1,$48.49,$48.49,$0.00,$7.27 ,$41.22 ,$0.00,10.04,25.95,$35.99 ,,$5.23 ,,,,,,,
"Sun, Mar 1",Dropship,114-4128390-7489837,01LNT7N,,Delivered,1Z0966F20341211855,0,1,$67.90,$67.90,$0.00,$10.19 ,$57.72 ,$0.00,10.04,46.43,$56.47 ,,$1.25 ,,,,,,,
"Sun, Mar 1",Dropship,114-0813533-0356269,21WV984,,Delivered,1Z035H9C0300356858,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Sun, Mar 1",Dropship,114-8897595-3934631,01LNSL6,,Delivered,1Z81V6210363888547,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Sun, Mar 1",Dropship,113-4095681-2069043,276L5F3,,Delivered,1ZV36W130327074948,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Sun, Mar 1",Dropship,111-9074451-4129029,25R56YN,,Delivered,1Z5808E40368684603,0,1,$48.49,$48.49,$0.00,$7.27 ,$41.22 ,$0.00,10.04,25.95,$35.99 ,,$5.23 ,,,,,,,
"Sun, Mar 1",Dropship,111-8680302-7927409,07BYTR4,,Delivered,1Z035H9H0300306929,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Sun, Mar 1",Dropship,111-6778850-4369003,47Y468Q,,"Delivered
Delivered","1Z5RE6980333374286
1Z5RE6980333374295",0,2,$42.95,$85.90,$29.99,$17.38 ,$98.51 ,$0.00,14.82,22.95,$60.72 ,,$37.79 ,,,,,,,
"Sun, Mar 1",Dropship,111-6653907-4822626,01LNSQ4,,Delivered,1Z81V6210363887806,0,1,$74.50,$74.50,$0.00,$11.18 ,$63.33 ,$0.00,10.04,47.84,$57.88 ,,$5.45 ,,,,,,,
"Sun, Mar 1",Dropship,111-6255320-2617863,01LNSS2,,Delivered,1Z81V6210363886530,0,1,$74.50,$74.50,$0.00,$11.18 ,$63.33 ,$0.00,10.04,47.84,$57.88 ,,$5.45 ,,,,,,,
"Mon, Mar 2",Dropship,112-0316568-0441822,01LNT8L,,Delivered,1Z81V6210363899071,0,1,$46.22,$46.22,$0.00,$6.93 ,$39.29 ,$0.00,10.04,25.95,$35.99 ,,$3.30 ,,,,,,,
"Mon, Mar 2",Dropship,112-3985858-8879443,"01LNSTB
01LNSTN",,"Delivered
Delivered
Delivered
Delivered
Delivered","1Z035H9F0300292877
1Z035H9F0300292886
1Z035H9F0300292895
1Z035H9F0300292911
1Z035H9F0300292920",0,5,$42.10,$210.50,$64.99,$41.32 ,$234.17 ,$0.00,23.8,18.37,$115.65 ,,$118.52 ,,,,,,,
"Mon, Mar 2",Dropship,112-6699445-5617834,276L5LL,,Delivered,9205590114429704021434,0,1,$25.99,$25.99,$0.00,$3.90 ,$22.09 ,$0.00,10.04,11.05,$21.09 ,,$1.00 ,,,,,,,
"Mon, Mar 2",Dropship,114-6091664-0207427,25R5666,,"Delivered
Delivered","1Z5808E40368686512
1Z5808E40368686521",0,2,$32.90,$65.80,$24.99,$13.62 ,$77.17 ,$0.00,10.04,27.05,$64.14 ,,$13.03 ,,,,,,,
"Mon, Mar 2",Dropship,112-3646731-0519431,07BYT2P,,Delivered,1Z0966F20341197694,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,113-9362823-3393000,07BYT4B,,"Delivered
Delivered","1Z0966F20341203551
1Z0966F20341203560",0,2,$39.99,$79.98,$34.99,$17.25 ,$97.72 ,$0.00,16.2,25.78,$67.76 ,,$29.96 ,,,,,,,
"Mon, Mar 2",Dropship,112-5549214-7549814,01LNT8F,,Delivered,1Z81V6210363897297,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,113-0056363-5589055,01LNSW8,,Delivered,1Z035H9F0300293018,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,114-2333956-8799413,07BYWNV,,"Delivered
Delivered
Delivered
Delivered","1Z0966F20341210829
1Z0966F20341210838
1Z0966F20341210847
1Z0966F20341210856",0,2,$69.49,$138.98,$29.99,$25.35 ,$143.62 ,$0.00,10.48,54.76,$120.00 ,,$23.62 ,,,,,,,
"Mon, Mar 2",Dropship,111-5188736-6989848,276L5LT,,Delivered,1ZV36W130327077749,0,1,$67.90,$67.90,$0.00,$10.19 ,$57.72 ,$0.00,10.04,46.43,$56.47 ,,$1.25 ,,,,,,,
"Mon, Mar 2",Dropship,114-1987060-6370623,25R5653,,"Delivered
Delivered","1Z5808E40368687137
1Z5808E40368687146",0,2,$42.50,$85.00,$34.99,$18.00 ,$101.99 ,$0.00,10.04,18.37,$46.78 ,,$55.21 ,,,,,,,
"Mon, Mar 2",Dropship,111-8585866-4501860,01LNT7R,,Delivered,1Z81V6210363897082,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,114-1666287-6143405,25R565D,,Delivered,1Z5808E40368687379,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,114-6318912-6009065,07BYTXK,,Delivered,1Z0966F20341200063,0,1,$46.25,$46.25,$0.00,$6.94 ,$39.31 ,$0.00,10.04,25.95,$35.99 ,,$3.32 ,,,,,,,
"Mon, Mar 2",Dropship,111-8311764-0773841,07BYTW2,,"Delivered
Delivered
Delivered","1Z0966F20341204023
1Z0966F20341204032
1Z0966F20341204041",0,3,$44.95,$134.85,$44.99,$26.98 ,$152.86 ,$0.00,18.95,36.9,$129.65 ,,$23.21 ,,,,,,,
"Mon, Mar 2",Dropship,113-6762648-6283469,276L5H5,,Delivered,1ZV36W130327078891,0,1,$49.99,$49.99,$0.00,$7.50 ,$42.49 ,$0.00,10.04,18.37,$28.41 ,,$14.08 ,,,,,,,
"Mon, Mar 2",Dropship,114-0819153-3503452,07BYTSX,,Delivered,1Z035H9H0300306965,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,112-5518814-3350662,01LNSJD,,Delivered,1Z81V6210363887673,0,1,$46.99,$46.99,$0.00,$7.05 ,$39.94 ,$0.00,10.04,18.37,$28.41 ,,$11.53 ,,,,,,,
"Mon, Mar 2",Dropship,114-9444822-8729854,25R56YB,,Delivered,1Z5808E40368683631,0,1,$74.40,$74.40,$0.00,$11.16 ,$63.24 ,$0.00,10.04,49.97,$60.01 ,,$3.23 ,,,,,,,
